@ID,X.12TH.GENDER,SU Race,X.12TH.FGEN.FLAG,X.12TH.FY.COHORT,X.12TH.TR.COHORT,X.12TH.PELL.FLAG
3353237,M,WHI,Y,,18/FA,
3330738,F,WHI,,16/FA,,
3318704,F,WHI,,15/FA,,
3330375,F,WHI,,16/FA,,
3324552,F,HIS,Y,15/FA,,Y
3332154,F,WHI,,,,
3350281,M,WHI,,18/FA,,
3315235,F,HIS,,14/FA,,
3348371,F,BL,,18/FA,,
3350409,F,WHI,,18/FA,,Y
3340637,F,WHI,,17/FA,,
3324358,F,WHI,,15/FA,,Y
3339994,M,WHI,Y,18/FA,,
3349906,F,WHI,,18/FA,,
3342269,M,HIS,Y,17/FA,,
3348015,F,WHI,,,18/SP,Y
3339032,F,WHI,,17/FA,,
3349456,F,WHI,,18/FA,,
3324359,F,HIS,,15/FA,,
3346710,M,WHI,,18/FA,,
3353437,M,WHI,,,18/FA,Y
3344982,F,WHI,,,17/FA,
3322032,F,HIS,,15/FA,,Y
3343495,F,HIS,,17/FA,,
3335716,F,WHI,,16/FA,,
3351344,F,HIS,,18/FA,,
3343720,F,HIS,Y,17/FA,,Y
3322873,F,HIS,,15/FA,,Y
3352115,M,HIS,,18/FA,,
3325573,F,HIS,,15/FA,,Y
3333509,F,WHI,,16/FA,,
3321892,F,MUL,,15/FA,,
3348180,F,WHI,,18/FA,,Y
3331142,M,WHI,,16/FA,,
3322755,F,WHI,,15/FA,,
3325601,F,AS,,15/FA,,
3353791,M,HIS,,,18/FA,
3340117,F,WHI,,17/FA,,
3333403,F,WHI,,16/FA,,
3324081,M,WHI,,15/FA,,
3326639,M,WHI,,15/FA,,
3351417,F,HIS,,18/FA,,
3347552,M,WHI,,18/FA,,
3333944,F,WHI,Y,16/FA,,Y
3326534,M,HIS,,15/FA,,
3351364,M,HIS,Y,18/FA,,Y
3335684,M,BL,,16/FA,,
3331119,F,WHI,,16/FA,,Y
2911626,F,WHI,,16/FA,,
3341506,F,HIS,Y,17/FA,,Y
3335316,F,HIS,,16/FA,,Y
