STH.STUDENT,STH.TERM,SWU.STH.CODE.DESC,SWU.STH.REASON.DESC,SWU.12DH.START.TERM,SWU.12DH.ADMIT.STATUS,SWU.12DH.ORIG.START.TERM,SWU.12DH.ORIG.ADMIT.STATUS,SWU.LAST.T.TERM,SWU.12TH.FY.COHORT
3305914,17/SP,Study Abroad,Germany,14/FA,1,,,18/SP,14/FA
3327793,17/SP,Study Abroad,USA,15/FA,2,,,19/SP,
2907520,17/SP,Study Abroad,Sweden,14/FA,1,,,17/FA,14/FA
3334680,18/FA,LOA-Student,LOA-Student,16/FA,1,,,19/FA,16/FA
3331708,18/FA,Study Abroad,Australia,16/FA,1,,,19/FA,16/FA
2839406,18/FA,LOA-Student,LOA-Student,16/FA,2,,,19/FA,
3332636,18/FA,Study Abroad,France,16/FA,1,,,19/FA,16/FA
3331602,18/FA,LOA-Student,LOA-Student,16/FA,1,,,19/FA,16/FA
3317494,18/FA,LOA-Student,LOA-Student,14/FA,1,,,19/SP,14/FA
2901883,18/FA,Study Abroad,Taiwan,15/FA,1,,,19/SP,15/FA
3333066,18/FA,Study Abroad,Argentina,16/FA,1,,,19/FA,16/FA
3322227,18/FA,Study Abroad,Peru,15/FA,1,,,19/SP,15/FA
3324019,18/FA,LOA-Student,LOA-Student,15/FA,1,,,19/SP,15/FA
3322731,18/FA,Study Abroad,USA,15/FA,1,,,19/SP,15/FA
3344077,18/FA,LOA-Student,LOA-Student,17/FA,1,,,18/SP,17/FA
3344430,18/FA,LOA-Student,LOA-Student,17/FA,2,,,19/SP,
3340293,18/FA,LOA-Student,LOA-Student,17/FA,1,,,18/SP,17/FA
3340352,18/FA,LOA-Student,LOA-Student,18/SP,2,,,19/FA,
3332405,18/FA,Study Abroad,China,16/FA,1,,,19/FA,16/FA
3332199,18/FA,LOA-Student,LOA-Student,16/FA,1,,,18/SP,16/FA
3314834,18/FA,LOA-Student,LOA-Student,14/FA,1,,,19/SP,14/FA
1213061,18/FA,LOA-Student,LOA-Student,12/FA,3,03/FA,8,19/FA,
3331858,18/FA,LOA-Student,LOA-Student,16/FA,1,,,19/FA,16/FA
2999025,18/FA,LOA-Student,LOA-Student,17/SP,2,,,17/FA,
3334419,18/FA,Study Abroad,Mexico,16/FA,1,,,18/SP,16/FA
